Name,OpenAlex_id
Charles Lawrence,A5110817122
Paul Von Allmen,A5042442992
Daniel Wenkert,A5039786214
Mary Park,A5064318723
Jeff Booth,A5045456173
Keith Grogan,A5055816437
Neil Murphy,A5087261603
Neal Turner,A5035897480
Alexander Ruzmaikin,A5113921083
Paulette Liewer,A5005240098
Jamie Jasinski,A5079573709
Jack Lightholder,A5021891433
Charles Thompson,
Jeffrey Hall,A5034927537
Paulo Penteado,A5020685599
Panagiotis Vergados,A5025952050
Olga Verkhoglyadova,A5047816335
Attila Komjathy,A5076361258
Anthony Mannucci,A5087062396
Ryan McGranaghan,A5065824713
Stephen Durden,A5073295191
Jordan Isler,A5013466137
David Krogsrud,
